,dataset,n_estimators,max_samples,ause,ece,accuracy,f1
0,diabetes,5,0.9,0.3419707529746015,0.07134258151957378,0.75,0.5999999999999999
1,diabetes,5,0.8,0.44866607975941797,0.11778033550191475,0.75,0.6129032258064516
2,diabetes,5,1.0,0.4757405147960473,0.049282321104943926,0.7604166666666666,0.6349206349206349
3,diabetes,10,0.9,0.4440328654662351,0.06485823629544062,0.78125,0.631578947368421
4,diabetes,10,0.8,0.36665448771336506,0.07369652469863186,0.8020833333333334,0.6779661016949153
5,diabetes,10,1.0,0.4069511296957607,0.08637576349954357,0.7604166666666666,0.6101694915254237
6,diabetes,20,0.9,0.37974092496937606,0.05781217460859064,0.7708333333333334,0.6333333333333334
7,diabetes,20,0.8,0.38461225491534984,0.03246804489911294,0.7604166666666666,0.6229508196721312
8,diabetes,20,1.0,0.39759224801954723,0.09572106533550256,0.7395833333333334,0.6031746031746031
9,diabetes,5,0.9,0.28368066320550095,0.08584642650176662,0.7395833333333334,0.5283018867924528
10,diabetes,5,0.8,0.4370619476079176,0.09370530263399718,0.7604166666666666,0.6229508196721312
11,diabetes,5,1.0,0.3595926258969507,0.1218264042991265,0.7291666666666666,0.5806451612903226
12,diabetes,10,0.9,0.2670715810295576,0.0707661129690627,0.7395833333333334,0.576271186440678
13,diabetes,10,0.8,0.3314337063695377,0.08998084729224635,0.7083333333333334,0.5172413793103449
14,diabetes,10,1.0,0.2198664541283985,0.09959028181638614,0.7395833333333334,0.576271186440678
15,diabetes,20,0.9,0.24889016561753846,0.04312085655492908,0.7395833333333334,0.576271186440678
16,diabetes,20,0.8,0.26093915019756825,0.08930725596391287,0.7604166666666666,0.6101694915254237
17,diabetes,20,1.0,0.26564263017986045,0.07197790170888066,0.7291666666666666,0.5517241379310345
18,ionosphere,5,0.9,0.26448943530603536,0.06389517050182188,0.9545454545454546,0.9655172413793104
19,ionosphere,5,0.8,0.1882186571500874,0.06814960826593587,0.9318181818181818,0.9473684210526316
20,ionosphere,5,1.0,0.0993348412570039,0.06753638238914285,0.9318181818181818,0.9473684210526316
21,ionosphere,10,0.9,0.06706293144972623,0.08197093573119123,0.9318181818181818,0.9473684210526316
22,ionosphere,10,0.8,0.19924206443411666,0.06455993052369147,0.9318181818181818,0.9473684210526316
23,ionosphere,10,1.0,0.1413206110313499,0.07885120659459756,0.9545454545454546,0.9655172413793104
24,ionosphere,20,0.9,0.12355560981228646,0.05764786239473682,0.9318181818181818,0.9473684210526316
25,ionosphere,20,0.8,0.19987613488913447,0.0446917282956852,0.9545454545454546,0.9655172413793104
26,ionosphere,20,1.0,0.09540340441026639,0.07360132116894867,0.9318181818181818,0.9473684210526316
27,ionosphere,5,0.9,0.06628939337618321,0.0789559957111264,0.9318181818181818,0.9491525423728813
28,ionosphere,5,0.8,0.08697587453210705,0.08091592614268556,0.9318181818181818,0.9491525423728813
29,ionosphere,5,1.0,0.09224473004444725,0.07664212124279751,0.9318181818181818,0.9491525423728813
30,ionosphere,10,0.9,0.06867039789994592,0.10074010786614727,0.9318181818181818,0.9491525423728813
31,ionosphere,10,0.8,0.04887685465078555,0.07943532388494189,0.9545454545454546,0.9655172413793104
32,ionosphere,10,1.0,0.08897817237597276,0.10134208890456638,0.9318181818181818,0.9491525423728813
33,ionosphere,20,0.9,0.088830985657019,0.051441508445063636,0.9545454545454546,0.9655172413793104
34,ionosphere,20,0.8,0.1127775232960797,0.06254775153221846,0.9545454545454546,0.9655172413793104
35,ionosphere,20,1.0,0.044627392567490376,0.09879449774305535,0.9318181818181818,0.9491525423728813
36,red-wine,5,0.9,0.2809740048174002,0.06324503890221111,0.78,0.7999999999999999
