,dataset,kernel,induction_method,loss,ause,ece,accuracy,f1
0,diabetes,rbf,kmeans,trace_elbo,0.16530586397103494,0.04665265290526087,0.7727272727272727,0.6391752577319588
1,diabetes,rbf,random,trace_elbo,0.1716729048741842,0.049060288833679515,0.7597402597402597,0.6336633663366336
2,diabetes,rbf,kmeans,trace_meanfield_elbo,0.170144658482448,0.03888974449254688,0.7662337662337663,0.6326530612244898
3,diabetes,rbf,random,trace_meanfield_elbo,0.1469085114097018,0.0689372515978007,0.7922077922077922,0.6666666666666666
4,diabetes,linear,kmeans,trace_elbo,0.004211803964712911,0.05529763439319515,0.44805194805194803,0.4370860927152318
5,diabetes,linear,random,trace_elbo,0.003978718339936867,0.030674679616831176,0.5324675324675324,0.41935483870967744
6,diabetes,linear,kmeans,trace_meanfield_elbo,0.004066493708670713,0.0495959644378736,0.5584415584415584,0.3584905660377358
7,diabetes,linear,random,trace_meanfield_elbo,0.004763604966679853,0.10249669562305522,0.6103896103896104,0.3023255813953488
8,diabetes,poly,kmeans,trace_elbo,0.0065685500686861326,0.03721835038688154,0.4675324675324675,0.45333333333333337
9,diabetes,poly,random,trace_elbo,0.002538915484074625,0.06622898334432588,0.43506493506493504,0.2809917355371901
10,diabetes,poly,kmeans,trace_meanfield_elbo,0.010628555730884642,0.07645515138077205,0.5909090909090909,0.42201834862385323
11,diabetes,poly,random,trace_meanfield_elbo,0.004984610534409233,0.1984217407273234,0.7077922077922078,0.6017699115044248
12,ionosphere,rbf,kmeans,trace_elbo,0.06894161698290138,0.1553654103974401,0.9014084507042254,0.9278350515463919
13,ionosphere,rbf,random,trace_elbo,0.0868497359221817,0.1566328297527376,0.9014084507042254,0.9278350515463919
14,ionosphere,rbf,kmeans,trace_meanfield_elbo,0.07694793509690052,0.14866232952557007,0.9014084507042254,0.9278350515463919
15,ionosphere,rbf,random,trace_meanfield_elbo,0.08303474227633208,0.14935975809561974,0.9014084507042254,0.9278350515463919
16,ionosphere,linear,kmeans,trace_elbo,0.16913255772274138,0.05938187401199211,0.8309859154929577,0.8823529411764706
17,ionosphere,linear,random,trace_elbo,0.17727858875131178,0.04127088256674777,0.8450704225352113,0.8932038834951457
18,ionosphere,linear,kmeans,trace_meanfield_elbo,0.1713460193411059,0.050948002191602795,0.8309859154929577,0.8823529411764706
19,ionosphere,linear,random,trace_meanfield_elbo,0.19390824103320087,0.05178427610995418,0.8450704225352113,0.8932038834951457
20,ionosphere,poly,kmeans,trace_elbo,0.1480851591124459,0.10076000815893356,0.9154929577464789,0.9387755102040816
21,ionosphere,poly,random,trace_elbo,0.1628805536250441,0.1008238850595759,0.9014084507042254,0.9278350515463919
22,ionosphere,poly,kmeans,trace_meanfield_elbo,0.15507776778903576,0.09254214326553,0.9014084507042254,0.9278350515463919
23,ionosphere,poly,random,trace_meanfield_elbo,0.17878151244026882,0.0866008825965425,0.9014084507042254,0.9278350515463919
24,red-wine,rbf,kmeans,trace_elbo,0.2959109601435115,0.02194640062501895,0.6875,0.7023809523809523
25,red-wine,rbf,random,trace_elbo,0.31363723221941026,0.02943060356833293,0.665625,0.6843657817109144
26,red-wine,rbf,kmeans,trace_meanfield_elbo,0.31220399651643044,0.033335268026702704,0.69375,0.7030303030303029
27,red-wine,rbf,random,trace_meanfield_elbo,0.31436141054340155,0.025156396185629946,0.696875,0.7069486404833836
28,red-wine,linear,kmeans,trace_elbo,0.0026326046057037608,0.03606249118197966,0.465625,0.4083044982698962
29,red-wine,linear,random,trace_elbo,0.005234634316989461,0.0070778184394317545,0.509375,0.46416382252559724
30,red-wine,linear,kmeans,trace_meanfield_elbo,0.012571446630541373,0.19368728948383343,0.709375,0.7102803738317756
31,red-wine,linear,random,trace_meanfield_elbo,0.013423414058168355,0.20130058997891753,0.7125,0.7195121951219513
32,red-wine,poly,kmeans,trace_elbo,0.004382489966790408,0.08433256243202943,0.5875,0.5479452054794521
